file,start,end,avg_similarity_to_patients
147_2b3_Ll_mc_AKGC417L,4.656,8.75,0.8850019274861075
147_2b3_Ll_mc_AKGC417L,8.75,13.331,0.8829519454658094
147_2b3_Ll_mc_AKGC417L,13.331,17.81,0.8837617327378156
147_2b3_Ll_mc_AKGC417L,17.81,19.337,0.8835231821848155
151_2p3_Pl_mc_AKGC417L,12.529,15.668,0.9008815879787804
216_1b1_Al_sc_Meditron,1.25,2.605,0.9326936635971075
216_1b1_Al_sc_Meditron,7.65,10.103,0.931292925270049
216_1b1_Al_sc_Meditron,10.103,12.559,0.9186064593281053
216_1b1_Al_sc_Meditron,12.559,13.969,0.9469544110296942
216_1b1_Al_sc_Meditron,13.969,15.123,0.9427802878169813
216_1b1_Al_sc_Meditron,15.123,16.869,0.9347480426273844
216_1b1_Al_sc_Meditron,16.869,18.821,0.9239780397311138
216_1b1_Al_sc_Meditron,18.821,19.985,0.9404441076598496
163_2b2_Ll_mc_AKGC417L,0.025,3.765,0.8980654617096941
163_2b2_Ll_mc_AKGC417L,13.257,17.369,0.8923091422499149
163_2b2_Ll_mc_AKGC417L,17.369,19.958,0.8907991632118228
177_2b4_Tc_mc_AKGC417L,1.912,6.085,0.9197191004679002
177_2b4_Tc_mc_AKGC417L,6.085,10.175,0.920271274146311
177_2b4_Tc_mc_AKGC417L,10.175,14.065,0.9203843292168044
177_2b4_Tc_mc_AKGC417L,14.065,18.356,0.9206102320547749
177_2b4_Tc_mc_AKGC417L,18.356,19.674,0.921792659972005
155_2b1_Al_mc_LittC2SE,0.193,3.922,0.8830407854129019
155_2b1_Al_mc_LittC2SE,3.922,7.65,0.8894429057742427
155_2b1_Al_mc_LittC2SE,7.65,11.664,0.8868345746832164
155_2b1_Al_mc_LittC2SE,11.664,15.493,0.8818234343558154
155_2b1_Al_mc_LittC2SE,15.493,19.079,0.8691495268923968
155_2b1_Al_mc_LittC2SE,19.079,19.964,0.9309629246899942
193_7b3_Tc_mc_AKGC417L,0.363,1.887,0.9713431341839375
193_7b3_Tc_mc_AKGC417L,9.28,11.673,0.9669915858091428
193_7b3_Tc_mc_AKGC417L,11.673,13.839,0.9680040430177568
173_1b1_Al_sc_Meditron,0.021,0.407,0.9695196312492105
173_1b1_Al_sc_Meditron,0.407,2.122,0.9341611226116979
173_1b1_Al_sc_Meditron,3.522,5.921,0.9811530616340832
173_1b1_Al_sc_Meditron,7.793,9.639,0.9055695695077467
173_1b1_Al_sc_Meditron,9.639,11.291,0.9386526726000439
173_1b1_Al_sc_Meditron,16.383,17.862,0.9257284063274016
173_1b1_Al_sc_Meditron,17.862,19.073,0.9662958180143854
173_1b1_Al_sc_Meditron,19.073,19.95,0.959027819269575
170_2b2_Lr_mc_AKGC417L,0.509,2.479,0.8224251852215223
170_2b2_Lr_mc_AKGC417L,2.479,5.768,0.8237394063377932
170_2b2_Lr_mc_AKGC417L,5.768,8.806,0.8438430960149678
170_2b2_Lr_mc_AKGC417L,8.806,11.928,0.8470143022197115
170_2b2_Lr_mc_AKGC417L,11.928,15.117,0.8527969736423318
170_2b2_Lr_mc_AKGC417L,15.117,18.406,0.8270402655127116
170_2b2_Lr_mc_AKGC417L,18.406,19.407,0.840722113498481
203_1p2_Al_mc_AKGC417L,18.792,19.577,0.8724072440860671
130_1p2_Pr_mc_AKGC417L,0.697,2.423,0.8668146400744887
130_1p2_Pr_mc_AKGC417L,17.03,19.554,0.877577545950158
138_1p3_Tc_mc_AKGC417L,10.826,14.967,0.946101427439108
138_1p3_Tc_mc_AKGC417L,14.967,18.723,0.9448551317729788
218_1p1_Pr_sc_Litt3200,9.0626,10.394,0.8661399267029622
166_1p1_Pr_sc_Meditron,0.44859,2.8024,0.8120223081507832
166_1p1_Pr_sc_Meditron,2.8024,5.1764,0.7350026057966228
166_1p1_Pr_sc_Meditron,5.1764,8.4073,0.7064893295444338
166_1p1_Pr_sc_Meditron,12.651,15.232,0.7271407875720969
166_1p1_Pr_sc_Meditron,15.232,17.48,0.7577581222995742
166_1p1_Pr_sc_Meditron,17.48,19.365,0.8381711158146373
166_1p1_Pr_sc_Meditron,19.365,21.764,0.7670753524748193
166_1p1_Pr_sc_Meditron,21.764,23.871,0.7459107835540264
166_1p1_Pr_sc_Meditron,23.871,25.736,0.7906986475356035
166_1p1_Pr_sc_Meditron,25.736,27.465,0.8732193635783754
166_1p1_Pr_sc_Meditron,27.465,29.441,0.8220107363297882
166_1p1_Pr_sc_Meditron,29.441,31.038,0.8311915363140824
166_1p1_Pr_sc_Meditron,31.038,33.448,0.8063760803185518
166_1p1_Pr_sc_Meditron,36.855,40.358,0.7594505933229543
166_1p1_Pr_sc_Meditron,40.358,43.81,0.7293207489760563
166_1p1_Pr_sc_Meditron,43.81,46.925,0.781010561487529
166_1p1_Pr_sc_Meditron,46.925,50.247,0.7597848192556419
166_1p1_Pr_sc_Meditron,50.247,53.443,0.7789676483844895
166_1p1_Pr_sc_Meditron,53.443,56.562,0.7896137839430452
166_1p1_Pr_sc_Meditron,56.562,60.04,0.7840093529011797
166_1p1_Pr_sc_Meditron,60.04,62.5,0.7956076841453192
211_1p2_Pr_mc_AKGC417L,0.109,1.702,0.8915751922703595
211_1p2_Pr_mc_AKGC417L,1.702,3.311,0.8914965493000837
211_1p2_Pr_mc_AKGC417L,3.311,4.904,0.8886084046345998
211_1p2_Pr_mc_AKGC417L,4.904,6.446,0.89115219835923
211_1p2_Pr_mc_AKGC417L,6.446,8.005,0.8928035068915515
211_1p2_Pr_mc_AKGC417L,8.005,9.648,0.8921740107601702
211_1p2_Pr_mc_AKGC417L,9.648,11.09,0.8925029130981269
211_1p2_Pr_mc_AKGC417L,11.09,12.599,0.8918283864126814
211_1p2_Pr_mc_AKGC417L,12.599,14.023,0.8930004376643801
211_1p2_Pr_mc_AKGC417L,14.023,15.583,0.8927377633156265
211_1p2_Pr_mc_AKGC417L,15.583,17.024,0.8936790697104504
211_1p2_Pr_mc_AKGC417L,17.024,18.751,0.8909020264584593
211_1p2_Pr_mc_AKGC417L,18.751,19.656,0.8903864468902011
104_1b1_Ar_sc_Litt3200,19.048,22.176,0.8855562406120718
104_1b1_Ar_sc_Litt3200,22.176,22.951,0.9339052941397444
104_1b1_Ar_sc_Litt3200,22.951,24.664,0.8826770939907433
104_1b1_Ar_sc_Litt3200,24.664,25.584,0.9052299612041637
130_1p4_Ar_mc_AKGC417L,11.875,14.554,0.9251714722175118
130_1p4_Ar_mc_AKGC417L,17.161,19.946,0.9375308321761097
203_1p4_Pl_mc_AKGC417L,19.125,19.97,0.9292576111214589
188_1b1_Pl_sc_Meditron,0.05,1.022,0.916739683763277
188_1b1_Pl_sc_Meditron,1.022,2.707,0.926353517618004
188_1b1_Pl_sc_Meditron,2.707,3.907,0.9431411770112209
188_1b1_Pl_sc_Meditron,3.907,4.964,0.9448805864984129
188_1b1_Pl_sc_Meditron,4.964,6.064,0.9474809158041503
188_1b1_Pl_sc_Meditron,6.064,7.221,0.9495191254722781
188_1b1_Pl_sc_Meditron,7.221,8.464,0.9205459101252591
188_1b1_Pl_sc_Meditron,8.464,9.707,0.9424511597607721
188_1b1_Pl_sc_Meditron,9.707,12.164,0.9116080975987452
188_1b1_Pl_sc_Meditron,12.164,13.293,0.9250545941887949
188_1b1_Pl_sc_Meditron,13.293,14.493,0.9454496382420106
188_1b1_Pl_sc_Meditron,14.493,16.45,0.9289157541754784
188_1b1_Pl_sc_Meditron,16.45,19.293,0.9046530780304469
188_1b1_Pl_sc_Meditron,19.293,19.964,0.9592688735303672
172_1b4_Pr_mc_AKGC417L,3.464,5.868,0.8896843733349027
172_1b4_Pr_mc_AKGC417L,13.898,17.186,0.8980212127701613
172_1b4_Pr_mc_AKGC417L,17.186,19.959,0.9027240141773264
149_1b1_Pl_sc_Meditron,0.25,1.207,0.9464404183051757
149_1b1_Pl_sc_Meditron,1.207,2.136,0.9343472697500247
149_1b1_Pl_sc_Meditron,2.136,3.207,0.9085986651618502
149_1b1_Pl_sc_Meditron,7.736,9.664,0.9385619798766289
149_1b1_Pl_sc_Meditron,12.45,13.636,0.9295646574213668
149_1b1_Pl_sc_Meditron,13.636,14.664,0.9334078677958808
149_1b1_Pl_sc_Meditron,14.664,16.19,0.8924954099967304
149_1b1_Pl_sc_Meditron,16.19,17.144,0.9221358737488687
149_1b1_Pl_sc_Meditron,17.144,18.114,0.9156586994913132
149_1b1_Pl_sc_Meditron,18.114,18.484,0.950124697848024
205_4b2_Pl_mc_AKGC417L,1.732,4.994,0.8789319218576639
205_4b2_Pl_mc_AKGC417L,4.994,8.327,0.8885328180508765
205_4b2_Pl_mc_AKGC417L,8.327,12.125,0.8938713217725047
205_4b2_Pl_mc_AKGC417L,12.125,15.994,0.8888657720098289
205_4b2_Pl_mc_AKGC417L,15.994,19.688,0.8840469119328901
178_1b2_Ar_mc_AKGC417L,4.006,5.506,0.9030647192113461
178_1b2_Ar_mc_AKGC417L,8.863,10.268,0.90820050944365
178_1b2_Ar_mc_AKGC417L,13.732,15.589,0.9090873593218395
178_1b2_Ar_mc_AKGC417L,15.589,17.387,0.9036842389608397
179_1b1_Al_sc_Meditron,8.493,10.793,0.8700527292733042
179_1b1_Al_sc_Meditron,10.793,12.893,0.8329602770773629
179_1b1_Al_sc_Meditron,12.893,14.821,0.8559418526883692
179_1b1_Al_sc_Meditron,14.821,17.407,0.867307004493228
179_1b1_Al_sc_Meditron,17.407,19.964,0.8590067254987257
158_1p3_Ll_mc_AKGC417L,18.823,19.674,0.8626088120744629
186_2b2_Tc_mc_AKGC417L,1.351,5.292,0.9073803588892988
186_2b2_Tc_mc_AKGC417L,5.292,9.423,0.9180331506112687
186_2b2_Tc_mc_AKGC417L,9.423,13.006,0.9120908203219005
186_2b2_Tc_mc_AKGC417L,13.006,17.125,0.9138697952743029
186_2b2_Tc_mc_AKGC417L,17.125,18.458,0.9325844979796812
220_1b1_Tc_mc_LittC2SE,0.022,1.079,0.9541173400703596
220_1b1_Tc_mc_LittC2SE,1.079,4.693,0.9577034685396886
220_1b1_Tc_mc_LittC2SE,4.693,7.993,0.9557043699160218
220_1b1_Tc_mc_LittC2SE,7.993,11.421,0.9549719731726761
220_1b1_Tc_mc_LittC2SE,11.421,14.721,0.9555546394496391
178_1b3_Pl_mc_AKGC417L,1.782,5.718,0.9061463146665566
178_1b3_Pl_mc_AKGC417L,5.718,9.654,0.9075514373574188
178_1b3_Pl_mc_AKGC417L,9.654,13.252,0.9032605919260127
178_1b3_Pl_mc_AKGC417L,13.252,16.427,0.9076449061875103
178_1b3_Pl_mc_AKGC417L,16.427,19.181,0.9079886472606998
113_1b1_Lr_sc_Litt3200,0.0,1.8667,0.8974709869910406
113_1b1_Lr_sc_Litt3200,1.8667,3.3948,0.8226440028810129
113_1b1_Lr_sc_Litt3200,3.3948,6.0796,0.8683558264282504
113_1b1_Lr_sc_Litt3200,6.0796,7.5795,0.8235735561046889
113_1b1_Lr_sc_Litt3200,7.5795,8.8773,0.761932841985482
113_1b1_Lr_sc_Litt3200,8.8773,10.499,0.7458178766462212
113_1b1_Lr_sc_Litt3200,10.499,14.576,0.7009355565854929
122_2b1_Tc_mc_LittC2SE,18.136,19.979,0.9416685310416169
218_1b1_Lr_sc_Meditron,36.333,40.059,0.8930821157007341
218_1b1_Lr_sc_Meditron,78.827,82.5,0.8849815339509991
172_1b5_Al_mc_AKGC417L,1.01,3.581,0.8993075764752255
172_1b5_Al_mc_AKGC417L,9.624,12.262,0.898585974299403
172_1b5_Al_mc_AKGC417L,12.262,15.801,0.9046679800092344
172_1b5_Al_mc_AKGC417L,15.801,18.322,0.907327442747946
172_1b5_Al_mc_AKGC417L,18.322,19.274,0.8998031700960305
193_1b2_Tc_mc_AKGC417L,0.364,1.263,0.8975088765400873
193_1b2_Tc_mc_AKGC417L,4.523,6.229,0.9009767663036411
193_1b2_Tc_mc_AKGC417L,6.229,7.901,0.9038991071595297
200_3p4_Pr_mc_AKGC417L,0.309,6.503,0.8609893564571311
200_3p4_Pr_mc_AKGC417L,6.503,11.094,0.8768148941077163
200_3p4_Pr_mc_AKGC417L,11.094,14.79,0.8795120764447207
200_3p4_Pr_mc_AKGC417L,14.79,19.057,0.8735456608028193
130_2b4_Pl_mc_AKGC417L,0.338,1.399,0.8957670663169295
130_2b4_Pl_mc_AKGC417L,17.244,19.426,0.9005836765894598
185_1b1_Ll_sc_Litt3200,0.62503,2.4314,0.9297504090542793
185_1b1_Ll_sc_Litt3200,2.4314,3.944,0.8606797786681292
185_1b1_Ll_sc_Litt3200,3.944,5.569,0.7744264160675163
185_1b1_Ll_sc_Litt3200,5.569,7.0879,0.8463789671669898
185_1b1_Ll_sc_Litt3200,7.0879,8.7505,0.8014581754438447
185_1b1_Ll_sc_Litt3200,8.7505,10.076,0.8882091473356342
185_1b1_Ll_sc_Litt3200,10.076,12.157,0.834634486370952
185_1b1_Ll_sc_Litt3200,12.157,13.394,0.8106013458186154
185_1b1_Ll_sc_Litt3200,16.257,19.376,0.8106318393489783
160_1b3_Ar_mc_AKGC417L,17.671,19.541,0.9030605283304887
164_1b1_Ll_sc_Meditron,6.693,8.407,0.9747095106920801
164_1b1_Ll_sc_Meditron,8.407,12.293,0.9477912837491416
164_1b1_Ll_sc_Meditron,14.736,16.079,0.9487657299131935
164_1b1_Ll_sc_Meditron,16.079,17.793,0.919392061256907
164_1b1_Ll_sc_Meditron,17.793,19.136,0.952559896208614
164_1b1_Ll_sc_Meditron,19.136,19.979,0.9741935580950549
112_1b1_Ar_sc_Meditron,1.937,4.8918,0.8850159228771807
112_1b1_Ar_sc_Meditron,4.8918,9.1707,0.8139181658173368
112_1b1_Ar_sc_Meditron,9.1707,14.588,0.8929637370647999
112_1b1_Ar_sc_Meditron,14.588,19.698,0.862108530047415
112_1b1_Ar_sc_Meditron,19.698,25.652,0.827553459716604
112_1b1_Ar_sc_Meditron,25.652,31.594,0.8423851157465468
112_1b1_Ar_sc_Meditron,31.594,34.713,0.8870149409769075
112_1b1_Ar_sc_Meditron,34.713,39.101,0.8749025994149818
112_1b1_Ar_sc_Meditron,43.052,46.477,0.9405734879531951
112_1b1_Ar_sc_Meditron,46.477,49.158,0.9125522268625528
112_1b1_Ar_sc_Meditron,49.158,52.048,0.8480308034418828
112_1b1_Ar_sc_Meditron,52.048,54.882,0.8522084945367598
112_1b1_Ar_sc_Meditron,54.882,57.815,0.8270306342669312
112_1b1_Ar_sc_Meditron,57.815,60.003,0.8787521046940487
112_1b1_Ar_sc_Meditron,60.003,62.761,0.8692304613688525
112_1b1_Ar_sc_Meditron,62.761,67.85,0.8784022216437198
201_1b2_Ar_sc_Meditron,0.05,1.907,0.937198447423981
157_1b1_Pr_sc_Meditron,18.95,24.558,0.8418128293281388
157_1b1_Pr_sc_Meditron,29.433,33.718,0.9564701787056583
157_1b1_Pr_sc_Meditron,33.718,37.229,0.952681574674217
157_1b1_Pr_sc_Meditron,37.229,41.29,0.9557431792560134
157_1b1_Pr_sc_Meditron,41.29,44.862,0.9667588187865972
134_2b1_Ar_mc_LittC2SE,0.036,1.707,0.8923382714509909
134_2b1_Ar_mc_LittC2SE,1.707,6.464,0.8927498999024062
134_2b1_Ar_mc_LittC2SE,6.464,11.293,0.8926124778085912
134_2b1_Ar_mc_LittC2SE,11.293,16.25,0.8815346825546729
134_2b1_Ar_mc_LittC2SE,16.25,19.964,0.88568673389379
162_2b3_Lr_mc_AKGC417L,0.109,4.099,0.8909465238189056
162_2b3_Lr_mc_AKGC417L,4.099,10.776,0.8968224707999921
162_2b3_Lr_mc_AKGC417L,10.776,17.12,0.8812585243275081
162_2b3_Lr_mc_AKGC417L,17.12,18.99,0.89227153621424
122_2b3_Ar_mc_LittC2SE,0.036,4.207,0.8918283846575319
122_2b3_Ar_mc_LittC2SE,7.893,12.221,0.8822141150623064
122_2b3_Ar_mc_LittC2SE,12.221,16.593,0.8835246521902115
122_2b3_Ar_mc_LittC2SE,16.593,19.95,0.9019270207199428
133_2p4_Tc_mc_AKGC417L,1.066,3.554,0.9753328406760433
133_2p4_Tc_mc_AKGC417L,5.923,8.375,0.9696230087942452
133_2p4_Tc_mc_AKGC417L,8.375,10.78,0.9694442026266991
133_2p4_Tc_mc_AKGC417L,10.78,13.161,0.9661712895379991
133_2p4_Tc_mc_AKGC417L,18.292,19.47,0.9608936477941099
145_2b2_Al_mc_AKGC417L,1.589,5.458,0.910088883046748
145_2b2_Al_mc_AKGC417L,5.458,9.316,0.9033685634785087
145_2b2_Al_mc_AKGC417L,9.316,13.03,0.9058322495355516
145_2b2_Al_mc_AKGC417L,13.03,16.887,0.8956471868157109
145_2b2_Al_mc_AKGC417L,16.887,19.958,0.898969697405882
196_1b1_Pr_sc_Meditron,0.022,3.436,0.8884770214683416
196_1b1_Pr_sc_Meditron,3.436,6.922,0.8890682555073358
196_1b1_Pr_sc_Meditron,6.922,10.107,0.8866180094959948
196_1b1_Pr_sc_Meditron,10.107,13.293,0.8792629299946174
196_1b1_Pr_sc_Meditron,13.293,16.464,0.8902855858884428
196_1b1_Pr_sc_Meditron,16.464,19.95,0.8899872730507928
133_3p2_Pl_mc_AKGC417L,4.661,7.423,0.8602787853452645
133_3p2_Pl_mc_AKGC417L,9.792,12.173,0.8655692938152137
133_3p2_Pl_mc_AKGC417L,17.173,19.696,0.8872223858845348
186_3b3_Pr_mc_AKGC417L,1.125,4.958,0.8742599849591222
186_3b3_Pr_mc_AKGC417L,4.958,8.542,0.873771985803601
186_3b3_Pr_mc_AKGC417L,8.542,11.911,0.8822999548093466
186_3b3_Pr_mc_AKGC417L,11.911,15.387,0.8724518731098098
186_3b3_Pr_mc_AKGC417L,15.387,18.792,0.8734862607716787
186_3b3_Pr_mc_AKGC417L,18.792,19.994,0.8880874221806071
172_1b3_Pl_mc_AKGC417L,3.848,6.786,0.88910617398106
172_1b3_Pl_mc_AKGC417L,6.786,9.24,0.8904683496716733
172_1b3_Pl_mc_AKGC417L,11.962,14.716,0.8860177162290143
172_1b3_Pl_mc_AKGC417L,17.571,19.975,0.8829811645261052
198_1b5_Ll_mc_AKGC417L,0.042,2.293,0.9190528773137696
198_1b5_Ll_mc_AKGC417L,18.875,19.975,0.9003096852509116
130_1p3_Al_mc_AKGC417L,18.375,19.946,0.9116778506517317
207_3b2_Ar_mc_AKGC417L,0.042,2.362,0.90106501586705
207_3b2_Ar_mc_AKGC417L,2.362,4.833,0.889833445750573
207_3b2_Ar_mc_AKGC417L,4.833,6.953,0.8974076817719704
207_3b2_Ar_mc_AKGC417L,6.953,9.341,0.8809835013747825
207_3b2_Ar_mc_AKGC417L,9.341,11.678,0.870075142127455
207_3b2_Ar_mc_AKGC417L,11.678,13.815,0.888727209576233
207_3b2_Ar_mc_AKGC417L,13.815,16.202,0.8880851433299928
207_3b2_Ar_mc_AKGC417L,16.202,18.456,0.9042304025342606
207_3b2_Ar_mc_AKGC417L,18.456,19.541,0.8922380676008294
203_1p3_Pr_mc_AKGC417L,5.982,7.982,0.8715182744956484
203_1p3_Pr_mc_AKGC417L,7.982,9.935,0.884312735129611
203_1p3_Pr_mc_AKGC417L,13.982,16.054,0.8756887896239759
170_1b3_Lr_mc_AKGC417L,1.427,4.466,0.8849728907367549
170_1b3_Lr_mc_AKGC417L,4.466,7.237,0.8971777908516916
170_1b3_Lr_mc_AKGC417L,7.237,10.125,0.8971966678318964
170_1b3_Lr_mc_AKGC417L,13.13,16.302,0.9030014474337189
170_1b3_Lr_mc_AKGC417L,16.302,19.04,0.8971885991361812
202_1b1_Ar_sc_Meditron,0.035,1.181,0.8986227182869881
202_1b1_Ar_sc_Meditron,1.181,3.373,0.893399217101161
202_1b1_Ar_sc_Meditron,3.373,5.381,0.8857280381288437
202_1b1_Ar_sc_Meditron,5.381,6.824,0.8853108542892664
202_1b1_Ar_sc_Meditron,6.824,8.394,0.8960567114414935
202_1b1_Ar_sc_Meditron,8.394,10.247,0.8710968857169089
202_1b1_Ar_sc_Meditron,10.247,12.255,0.9168665122493129
202_1b1_Ar_sc_Meditron,12.255,14.263,0.9136577779532885
202_1b1_Ar_sc_Meditron,14.263,17.078,0.9161344768631268
202_1b1_Ar_sc_Meditron,17.078,17.445,0.9221395230031035
139_1b1_Pr_sc_Litt3200,0.0,1.9436,0.8638284350353959
139_1b1_Pr_sc_Litt3200,1.9436,3.5204,0.9281681289700542
139_1b1_Pr_sc_Litt3200,14.972,16.24,0.8596218081601561
203_2p3_Al_mc_AKGC417L,0.625,2.78,0.8750986490583604
203_2p3_Al_mc_AKGC417L,2.78,6.268,0.8824095407100776
203_2p3_Al_mc_AKGC417L,6.268,9.946,0.8724522592033098
203_2p3_Al_mc_AKGC417L,9.946,13.673,0.8744848695165851
203_2p3_Al_mc_AKGC417L,13.673,17.423,0.8664391883752185
203_2p3_Al_mc_AKGC417L,17.423,18.387,0.8811666186604865
178_1b6_Lr_mc_AKGC417L,0.923,2.732,0.8784800169661866
178_1b6_Lr_mc_AKGC417L,2.732,5.375,0.9039325703320908
178_1b6_Lr_mc_AKGC417L,5.375,7.756,0.9059668908468382
178_1b6_Lr_mc_AKGC417L,7.756,10.256,0.9258014926115481
178_1b6_Lr_mc_AKGC417L,10.256,12.566,0.9049402087012844
178_1b6_Lr_mc_AKGC417L,12.566,14.827,0.895017221429522
178_1b6_Lr_mc_AKGC417L,14.827,17.446,0.9054485086101256
178_1b6_Lr_mc_AKGC417L,17.446,19.958,0.9169096813987327
200_2p3_Lr_mc_AKGC417L,2.145,7.788,0.8723793742802142
200_2p3_Lr_mc_AKGC417L,7.788,13.881,0.8783862862265387
200_2p3_Lr_mc_AKGC417L,13.881,19.891,0.8806701720367274
109_1b1_Ar_sc_Litt3200,0.0,2.1304,0.9322738890173449
109_1b1_Ar_sc_Litt3200,2.1304,4.1513,0.838642743172076
109_1b1_Ar_sc_Litt3200,4.1513,5.8762,0.9077065263913295
109_1b1_Ar_sc_Litt3200,5.8762,7.6075,0.8482182246756199
109_1b1_Ar_sc_Litt3200,7.6075,9.326,0.8011736007105971
109_1b1_Ar_sc_Litt3200,9.326,11.051,0.8063117324461543
109_1b1_Ar_sc_Litt3200,11.051,12.904,0.8538022521790698
109_1b1_Ar_sc_Litt3200,12.904,14.674,0.8582922322924401
109_1b1_Ar_sc_Litt3200,14.674,18.221,0.8004011861625687
109_1b1_Ar_sc_Litt3200,18.221,19.952,0.8205916608048867
138_2p2_Tc_mc_AKGC417L,3.18,6.035,0.9419364522701661
138_2p2_Tc_mc_AKGC417L,8.94,11.828,0.9246632734653041
138_2p2_Tc_mc_AKGC417L,14.449,17.654,0.9257102667795702
138_2p2_Tc_mc_AKGC417L,17.654,19.04,0.8771136215416886
130_3b3_Ll_mc_AKGC417L,17.702,19.018,0.9059826577123551
151_2p2_Ar_mc_AKGC417L,0.609,2.412,0.9419082090518899
151_2p2_Ar_mc_AKGC417L,2.412,5.601,0.91802414994968
151_2p2_Ar_mc_AKGC417L,5.601,8.74,0.9123472416680886
151_2p2_Ar_mc_AKGC417L,8.74,12.179,0.9103892262625939
151_2p2_Ar_mc_AKGC417L,12.179,15.701,0.9037015972525142
151_2p2_Ar_mc_AKGC417L,15.701,19.157,0.9148493979206048
